id,uploadSum,0to1rate,1to2rate,2to3rate,3to4rate,4to5rate,5to6rate,6to7rate,7to8rate,8to9rate,9to10rate,10to11rate,11to12rate,12to13rate,13to14rate,14to15rate,15to16rate,16to17rate,17to18rate,18to19rate,19to20rate,20to21rate,21to22rate,22to23rate,23to24rate,caseNumFinish,avgTimeSpan,uploadSumOfType0,avgUploadNumOfType0,avgUploadNumIgnoreUndoOfType0,avgScoreOfType0,avgScoreIgnoreUndoOfType0,uploadSumOfType1,avgUploadNumOfType1,avgUploadNumIgnoreUndoOfType1,avgScoreOfType1,avgScoreIgnoreUndoOfType1,uploadSumOfType2,avgUploadNumOfType2,avgUploadNumIgnoreUndoOfType2,avgScoreOfType2,avgScoreIgnoreUndoOfType2,uploadSumOfType3,avgUploadNumOfType3,avgUploadNumIgnoreUndoOfType3,avgScoreOfType3,avgScoreIgnoreUndoOfType3,uploadSumOfType4,avgUploadNumOfType4,avgUploadNumIgnoreUndoOfType4,avgScoreOfType4,avgScoreIgnoreUndoOfType4,uploadSumOfType5,avgUploadNumOfType5,avgUploadNumIgnoreUndoOfType5,avgScoreOfType5,avgScoreIgnoreUndoOfType5,uploadSumOfType6,avgUploadNumOfType6,avgUploadNumIgnoreUndoOfType6,avgScoreOfType6,avgScoreIgnoreUndoOfType6,uploadSumOfType7,avgUploadNumOfType7,avgUploadNumIgnoreUndoOfType7,avgScoreOfType7,avgScoreIgnoreUndoOfType7,finishRateOfType0,finishRateOfType1,finishRateOfType2,finishRateOfType3,finishRateOfType4,finishRateOfType5,finishRateOfType6,finishRateOfType7,userAbility,userAbilityOfType0,userAbilityOfType1,userAbilityOfType2,userAbilityOfType3,userAbilityOfType4,userAbilityOfType5,userAbilityOfType6,userAbilityOfType7,likeDegreeOfType0,likeDegreeOfType1,likeDegreeOfType2,likeDegreeOfType3,likeDegreeOfType4,likeDegreeOfType5,likeDegreeOfType6,likeDegreeOfType7,delayDegree
2,-0.4586726796100039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.5172413793103449,0.059113300492610835,0.1330049261083744,0.009852216748768471,0.0,0.0,0.0049261083743842365,0.0049261083743842365,0.03448275862068965,0.019704433497536943,0.0049261083743842365,0.009852216748768471,0.1477832512315271,0.0,0.0,0.44819628524538857,-0.37250412385976994,-0.5397162908211214,-0.3913985495915246,-0.47097369867565514,0.5304846750212543,0.26409642304804115,-0.1801671968789813,-0.31587535592579274,-0.39730371168026557,0.3259235775898358,0.30910143507808263,-0.3535759411582148,-0.3095652887551274,-0.3432685131222771,0.14727039099368994,0.4867135947322194,-0.38283832568077575,-0.3523667217765136,-0.4889583099670349,0.7734621870077437,0.43919313398522447,-0.4171882970763829,-0.42195067524029495,-0.5052137422688878,0.3348780399891357,0.2640121941336228,-0.5085021833287596,-0.5011675977316771,-0.5648010939769178,0.4294947212379845,0.361301674872062,-0.29371484285421506,-0.32121956898102993,-0.40592547413149926,0.506070987336377,0.35281956139171416,-0.48919806104913416,-0.513138622455917,-0.6121256570740434,0.25822387128044294,0.24894809895877343,1.0,0.9333333333333332,0.7142857142857143,1.0,0.9714285714285714,0.9444444444444444,1.0,0.9433962264150944,0.31847118040809164,0.45149165200546765,0.20698982745064634,-0.1202810162227419,0.6440409480637488,0.2879345853300614,0.10124601414052192,0.48548865307363054,0.2390885965949485,-0.2585478445407109,0.16010477619730612,-0.06472068168591921,0.1701707833938901,-0.0294879529432339,-0.2216083244737843,0.1463568497709827,-0.15357761189015112,0.0665776721857327
3,-0.21751064230030434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.04444444444444445,0.011111111111111113,0.007407407407407408,0.0,0.014814814814814815,0.011111111111111113,0.007407407407407408,0.025925925925925925,0.04814814814814815,0.007407407407407408,0.21851851851851853,0.0,0.0,0.4777777777777778,0.11851851851851852,0.5444766103911334,-0.006295722542892119,-0.3123102562036514,-0.09674135845201745,-0.173293141650239,0.028486433260200124,-0.3996085829086322,-0.07312048809006605,-0.23227453007098156,-0.3417133664968655,0.23615022441150013,-0.09760941137946944,-0.12537285046843608,-0.06222702567266674,-0.1437097963135296,0.4299092150100326,0.34661987422415996,0.22833526338155424,0.2975055795721694,0.05878598368401565,0.7401422585063514,0.39430848241492833,-0.36420538334768227,-0.3706534388142843,-0.48083450986328197,0.43958278799767514,0.2640121941336228,-0.46193302718471607,-0.45228935351872096,-0.5410691919519144,0.5258212003843721,0.22977532236991094,0.007760572472057332,-0.031176947151550557,-0.11123246619869104,0.13697063084728736,-0.07989250484155135,-0.3714036200218643,-0.3977992826798135,-0.5077356802920883,0.03706521568770098,-0.3364240549814025,1.0,0.9666666666666668,0.8571428571428571,1.0,1.0,1.0,1.0,0.9622641509433962,0.4370035175431235,0.3907393505133887,0.33470658602038283,0.2990416646737364,0.6359866357390572,0.40044314690240956,0.2907044934283633,0.40337352676892446,0.24266291754046979,-0.05765994791450518,0.23613547321310205,0.36371743260918915,0.6849911277933399,0.04176371503307895,-0.12397418798956729,0.29158946179237016,-0.09559454134507252,0.5381287066893415
4,-0.3542891112222235,0.04310344827586207,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.1853448275862069,0.16379310344827586,0.3362068965517241,0.2370689655172413,0.017241379310344827,0.4289402202162396,-0.6600346685744407,-0.5776172965906997,-0.44050808144810905,-0.22290656782114165,-0.8081773030082233,0.26409642304804115,-0.28721390566789656,-0.39947618178060396,-0.48105020572279034,0.05660351805482936,-0.23248800841896378,-0.33283020564096216,-0.2870799921112673,-0.34833131354871455,0.14727039099368994,0.18105456816918197,-0.3024207481725744,-0.2668572084411607,-0.3993835852534233,0.41000509945505903,0.05887400520968132,-0.2052566421615804,-0.21676172953625245,-0.32541690327754397,0.43958278799767514,0.2640121941336228,-0.43864844911269424,-0.42785023141224293,-0.5173372899269109,0.6221476795307591,0.361301674872062,-0.038620260655061495,-0.07579888897147047,-0.0885637732807827,0.23539739257771125,0.2605076539286175,-0.42188695189069425,-0.4472304282981436,-0.5604578907880252,0.022429608805778222,-0.36554559888171567,0.6666666666666666,0.9333333333333332,0.7857142857142857,0.9655172413793104,1.0,1.0,0.9375,0.9622641509433962,0.2021054130310705,-0.9013053274990509,0.2052191014128929,0.11508504751503525,0.5124197624365049,0.40044314690240956,0.32654699487177963,0.24982872604411147,0.2513143790952838,-0.6206055735632235,-0.02554859811577196,-0.025080886498595707,0.17616245680580098,0.17120079249110506,-0.06710268267508121,0.28509327375015886,-0.1479602875856888,-1.2884302388424926
5,-0.3434908110441772,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02553191489361702,0.02127659574468085,0.0,0.00851063829787234,0.01276595744680851,0.00851063829787234,0.0,0.0425531914893617,0.00851063829787234,0.0,0.6510638297872341,0.0,0.2085106382978724,0.0,0.5444766103911334,-0.6320424139327638,-0.27440925043407305,-0.047631826595432844,-0.12367971547933623,0.29621882886609646,-0.045632579731738725,-0.12664384248452368,-0.27407494299838714,-0.38214270844842924,0.23615022441150013,-0.09760941137946944,-0.16686432150294128,-0.10719761896038683,-0.19011880022254066,0.24148333233247082,0.06643243320804305,-0.2702537171692939,-0.23265340310701943,-0.3695253436822194,0.42817795383269325,0.08422861379471686,-0.36420538334768227,-0.3706534388142843,-0.48083450986328197,0.43958278799767514,0.2640121941336228,-0.48521760525673785,-0.47672847562519904,-0.5648010939769178,0.6221476795307591,0.361301674872062,-0.27052442629065565,-0.29890859807107,-0.38325678121359097,-0.05988289261356041,-0.31067227349929294,-0.27043695628420444,-0.29893699144315333,-0.4245968098946493,0.08097203633347146,-0.38200431145260216,1.0,0.9666666666666668,0.8571428571428571,0.9655172413793104,1.0,1.0,1.0,0.981132075471698,0.4195135078650721,0.41556122866190626,0.33470658602038283,0.27279654193514213,0.5018013204925369,0.40044314690240956,0.32654699487177963,0.3753722724374549,0.31944890335564113,0.049025044056917856,0.18658433667718122,0.2574585581121995,0.2131701044456385,0.04176371503307895,-0.14226511664562683,0.028598557323083522,0.008312269235292073,-0.8175494347707953
6,-0.19231460855152976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010830324909747292,0.1299638989169675,0.0,0.0,0.0,0.010830324909747292,0.021660649819494584,0.01444043321299639,0.007220216606498195,0.18411552346570398,0.03971119133574008,0.37184115523465705,0.16606498194945848,0.04332129963898917,0.6215008705077293,-0.45670534690833564,-0.3123102562036514,-0.09674135845201745,-0.173293141650239,0.29621882886609646,-0.045632579731738725,0.08744957509330684,-0.10687329128876474,-0.25074734710584723,0.3558480286492824,-0.08405238316421683,0.14432171125584786,0.2300818306975141,0.03861129047187095,0.8067609803651565,0.3666332628681691,0.0031660463585905687,0.058078942233180685,-0.14301454555584525,0.7552893326301094,0.4147128222479481,-0.31122246961898165,-0.3193562023882737,-0.42902864100136934,0.43958278799767514,0.2640121941336228,-0.39207929296865063,-0.3789719871992868,-0.4698734858769039,0.6221476795307591,0.361301674872062,-0.20095317659997738,-0.23197568534119015,-0.315250702459866,0.41256556369247427,0.2431991712792869,-0.2199536244153745,-0.24950584582482324,-0.39532794847999636,0.2850582564984494,-0.11917101865951026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5710298662369085,0.41556122866190626,0.48508629883523036,0.6871770188506975,0.6403857185496261,0.40044314690240956,0.32654699487177963,0.46736075292008405,0.4299816260292822,0.004746157721543877,0.40972255456518414,0.7562529627201501,0.531496878976475,0.08651233146316371,0.0026167312546076186,0.20462198044473973,0.10856268850272371,-0.10404719349564051
8,-1.070576356365958,0.2727272727272727,0.060606060606060615,0.030303030303030307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.30303030303030304,0.030303030303030307,0.0,0.0,0.0,0.0,0.060606060606060615,0.060606060606060615,0.0,0.030303030303030307,0.12121212121212124,-2.8638468997682347,-0.5697916260555772,-1.0324293658256398,-1.0298224637271234,-1.11594823889739,-3.485501259067179,-5.045543624605346,-1.11682589878199,-1.047382582155391,-1.1300855345523575,-3.0256149410680275,-6.430678306218502,-0.6025247673652461,-0.5793888484814481,-0.6774133412671566,-1.7369884357819292,-2.875535697461191,-0.8492602752283434,-0.8483218991215609,-0.906973691963889,-1.8616016977492214,-3.110452067919852,-1.3708807441929942,-1.3453009309084858,-1.465146018239622,-3.2250833923012006,-4.767952555755885,-0.32222555875258524,-0.3056546208798528,-0.17048641417686014,-0.9190759868114363,-0.7313787920688877,-1.082189006015235,-1.0797925799196684,-1.1766610333403824,-2.6435853880371876,-3.3396567371321515,-1.2464480390815833,-1.2546058067308685,-0.3671431189695898,-2.954291839301716,0.2638000863479329,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.0,0.11320754716981132,-2.693666465497903,-3.5078963272247217,-3.072108506278885,-1.767455007338417,-1.9046899715772627,-3.252257301882476,-0.703535146081164,-2.6704564550975944,-3.0143074183630456,-3.426157813225745,-3.5537113377799083,-2.025899132015671,-2.078351168743485,-3.425536809228842,-0.31901717542917823,-2.6987577003637817,-2.519379064522947,-0.4468113656072704
9,-0.46947097978805014,0.175,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.025,0.01,0.035,0.12,0.205,0.1,0.12,0.185,0.2941477650121968,-0.6639552130747345,-0.5776172965906997,-0.44050808144810905,-0.5205871248465578,0.1958191805138856,-0.1783735809230734,-0.28721390566789656,-0.39947618178060396,-0.5243192276447615,0.23016533419961246,-0.31994467410959726,-0.3743216766754674,-0.3320505853989874,-0.3711139154676837,-0.14478972715653132,-0.03443504555775927,-0.5436734806971784,-0.5233857484472195,-0.4105804258426247,-0.6197960395623409,-0.07847824814760689,-0.3906968402120326,-0.39630205702728954,-0.5067374442942382,0.41340660099554,0.2280695887772688,-0.48521760525673785,-0.47672847562519904,-0.5396731977151494,-0.07781831383437858,-0.37214187722093445,-0.17776276003641797,-0.2096647144312302,-0.2925820095419577,0.506070987336377,0.35281956139171416,-0.43871472918030424,-0.46370747683758695,-0.6151696186611674,0.4850757779502539,0.2638000863479329,1.0,1.0,0.7142857142857143,0.5517241379310345,1.0,0.9444444444444444,1.0,1.0,0.15188151627218213,0.3837124393792882,0.450201354511787,-0.10747205038381033,-0.5487087260918128,0.3951057040614426,0.03374253734088894,0.48548865307363054,0.4730080835175279,-0.38811398949221154,0.0231040629304115,-0.18604179280282862,-0.4022444998026611,0.012556888555092724,-0.2966041636439864,0.24563802911526061,-0.044241273040485425,-1.5816127364636359
10,-1.0489797560098655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.2307692307692308,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.10256410256410256,-2.5172377292435533,-0.6643651788636781,-0.9945283600560615,-0.9807129318705389,-0.5205871248465578,-3.1508357645598095,0.26409642304804115,-0.9027324812041593,-0.8801809304457686,-0.4601135822121592,-2.187730311403562,0.30910143507808263,-0.6025247673652461,-0.5793888484814481,-0.6774133412671566,-1.7369884357819292,-2.875535697461191,-0.8170932442250629,-0.8141180937874197,-0.4889583099670349,-1.7707374258610502,-1.3356294669673137,-1.0264918049564402,-1.011868894139417,-0.48299308773252836,-1.9686264161987288,0.2640121941336228,-0.8810554324811085,-0.8921935514353257,-0.5648010939769178,-2.6529526114464073,0.361301674872062,-1.082189006015235,-1.0797925799196684,-1.1766610333403824,-2.6435853880371876,-3.3396567371321515,-1.0276869343166535,-1.0404041757181046,-0.6210884328583527,-1.94443496444901,0.18954014940213665,0.08333333333333333,0.2333333333333333,0.0,0.06896551724137931,0.3428571428571429,0.05555555555555555,0.0,0.37735849056603776,-2.549316800800517,-3.139713670085066,-2.2936382638736057,-1.767455007338417,-1.741588616320939,-2.0375799920184194,-2.7206607904763014,-2.6704564550975944,-2.0220575659223576,-2.5298636846582183,-1.7379411385667303,-2.025899132015671,-1.5818095772625713,-1.396407497004856,-2.294616993309439,-2.6987577003637817,-1.5376816057368736,-1.6938322727209347
11,-0.09512990694911352,0.01973684210526316,0.006578947368421052,0.01973684210526316,0.01973684210526316,0.023026315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.01644736842105263,0.009868421052631578,0.01973684210526316,0.06907894736842106,0.125,0.09210526315789473,0.07894736842105263,0.17105263157894735,0.1118421052631579,0.15460526315789475,0.02960526315789473,0.02960526315789473,0.4674523502745375,-0.620354721105854,-0.501815285051543,-0.34228901773493997,-0.42136027250475233,0.5304846750212543,0.26409642304804115,0.1944962838822221,-0.02327246543395353,-0.17258395266615742,0.46956094267517284,0.12937397531017245,-0.31208447012370955,-0.26459469546740727,-0.28757770843146385,-0.0034703151483598065,0.21773365135674655,-0.10941856215289128,-0.06163437643631349,-0.10577754313658527,0.06472086628000816,0.025067860429631585,-0.1787651852972301,-0.19111311132324704,-0.29951396884658754,0.43958278799767514,0.2640121941336228,-0.27565640260854163,-0.2567763766668967,-0.35121397575188656,0.4294947212379845,0.09824896986775924,0.21647432154409205,0.16962179103808903,0.09278577006248391,0.506070987336377,0.35281956139171416,0.01563525763916521,-0.018827166272616006,-0.15857538059258117,0.4850757779502539,0.2638000863479329,1.0,1.0,0.7142857142857143,0.8275862068965517,1.0,1.0,1.0,1.0,0.32612303328032183,0.45149165200546765,0.4724957419945316,-0.10481165960832108,0.1412386457113982,0.40044314690240956,0.2760802967493593,0.48548865307363054,0.4730080835175279,-0.1993145435316114,0.5286233781576873,-0.02971422885207133,0.25495406992407965,0.19146490466346835,0.11394612796131046,0.5243664491895002,0.3534393203621478,-0.7210582754749006
13,-0.46947097978805014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.035,0.045,0.085,0.01,0.055,0.04,0.08,0.08,0.235,0.025,0.08,0.18,0.045,-0.6301433563869538,-0.3681230978385585,0.10460080726171035,0.44346349197041235,0.37245454622969054,0.5304846750212543,0.26409642304804115,-0.1801671968789813,-0.31587535592579274,-0.4225720503999929,0.445621381827618,0.30910143507808263,-0.2291015280546991,-0.17465350889196699,-0.22176130288777543,0.18495556752920236,0.24218637348178929,-0.10941856215289128,-0.06163437643631349,-0.22023413582620013,0.41000509945505903,0.05887400520968132,0.03316646961757243,0.014075834380795254,-0.0922904933989371,0.43958278799767514,0.2640121941336228,-0.39207929296865063,-0.3789719871992868,-0.4698734858769039,0.6221476795307591,0.361301674872062,-0.6879519244347251,-0.7005060744503492,-0.2280634220063724,-1.5482333274439921,-0.17872660361271314,-1.1286535980543133,-1.139266466954765,-0.217763522564435,-2.7054865223090205,-0.18175953532684444,1.0,0.9666666666666668,0.7857142857142857,0.9655172413793104,1.0,1.0,0.40625,0.18867924528301888,-0.22208053484609697,0.45149165200546765,0.3573695402654975,0.09125388297416465,0.5042270619095616,0.40044314690240956,0.32654699487177963,-1.4298818251950498,-2.766923441029519,0.4779893232127756,0.19282878464535913,0.15527315059092664,0.35313942059049486,0.3424949402416694,0.0026167312546076186,-0.8615219133266613,-2.0952377912834144,0.074383874917674
